to_date('24/11/2021', 'mm/dd/yyyy')
to_date('18/07/2022', 'mm/dd/yyyy')
to_date('22/07/2021', 'mm/dd/yyyy')
to_date('16/07/2022', 'mm/dd/yyyy')
to_date('19/08/2022', 'mm/dd/yyyy')
to_date('22/01/2021', 'mm/dd/yyyy')
to_date('06/02/2022', 'mm/dd/yyyy')
to_date('16/08/2021', 'mm/dd/yyyy')
to_date('19/06/2022', 'mm/dd/yyyy')
to_date('04/10/2021', 'mm/dd/yyyy')
to_date('23/08/2022', 'mm/dd/yyyy')
to_date('20/12/2021', 'mm/dd/yyyy')
to_date('14/10/2022', 'mm/dd/yyyy')
to_date('11/06/2022', 'mm/dd/yyyy')
to_date('27/03/2022', 'mm/dd/yyyy')
to_date('14/01/2022', 'mm/dd/yyyy')
to_date('16/12/2020', 'mm/dd/yyyy')
to_date('10/06/2022', 'mm/dd/yyyy')
to_date('09/08/2022', 'mm/dd/yyyy')
to_date('21/02/2021', 'mm/dd/yyyy')
to_date('28/07/2022', 'mm/dd/yyyy')
to_date('14/06/2021', 'mm/dd/yyyy')
to_date('14/12/2020', 'mm/dd/yyyy')
to_date('23/10/2022', 'mm/dd/yyyy')
to_date('21/01/2021', 'mm/dd/yyyy')
to_date('16/07/2022', 'mm/dd/yyyy')
to_date('08/09/2022', 'mm/dd/yyyy')
to_date('07/05/2022', 'mm/dd/yyyy')
to_date('18/02/2021', 'mm/dd/yyyy')
to_date('14/08/2022', 'mm/dd/yyyy')
to_date('27/03/2021', 'mm/dd/yyyy')
to_date('11/11/2020', 'mm/dd/yyyy')
to_date('21/12/2020', 'mm/dd/yyyy')
to_date('29/09/2021', 'mm/dd/yyyy')
to_date('12/02/2022', 'mm/dd/yyyy')
to_date('21/03/2021', 'mm/dd/yyyy')
to_date('24/01/2022', 'mm/dd/yyyy')
to_date('25/04/2021', 'mm/dd/yyyy')
to_date('25/12/2020', 'mm/dd/yyyy')
to_date('30/10/2021', 'mm/dd/yyyy')
to_date('18/02/2022', 'mm/dd/yyyy')
to_date('22/06/2021', 'mm/dd/yyyy')
to_date('21/05/2021', 'mm/dd/yyyy')
to_date('02/10/2022', 'mm/dd/yyyy')
to_date('30/12/2020', 'mm/dd/yyyy')
to_date('07/03/2022', 'mm/dd/yyyy')
to_date('23/11/2020', 'mm/dd/yyyy')
to_date('20/07/2022', 'mm/dd/yyyy')
to_date('18/05/2022', 'mm/dd/yyyy')
to_date('28/09/2022', 'mm/dd/yyyy')
to_date('21/09/2021', 'mm/dd/yyyy')
to_date('13/07/2022', 'mm/dd/yyyy')
to_date('11/09/2022', 'mm/dd/yyyy')
to_date('21/11/2021', 'mm/dd/yyyy')
to_date('02/05/2021', 'mm/dd/yyyy')
to_date('08/09/2022', 'mm/dd/yyyy')
to_date('25/03/2021', 'mm/dd/yyyy')
to_date('31/10/2020', 'mm/dd/yyyy')
to_date('22/07/2021', 'mm/dd/yyyy')
to_date('22/11/2020', 'mm/dd/yyyy')
to_date('13/05/2022', 'mm/dd/yyyy')
to_date('05/06/2021', 'mm/dd/yyyy')
to_date('04/03/2022', 'mm/dd/yyyy')
to_date('08/08/2022', 'mm/dd/yyyy')
to_date('13/06/2021', 'mm/dd/yyyy')
to_date('14/03/2022', 'mm/dd/yyyy')
to_date('31/05/2021', 'mm/dd/yyyy')
to_date('12/08/2022', 'mm/dd/yyyy')
to_date('21/03/2021', 'mm/dd/yyyy')
to_date('10/01/2022', 'mm/dd/yyyy')
to_date('07/07/2021', 'mm/dd/yyyy')
to_date('04/11/2021', 'mm/dd/yyyy')
to_date('29/09/2022', 'mm/dd/yyyy')
to_date('14/12/2020', 'mm/dd/yyyy')
to_date('30/12/2020', 'mm/dd/yyyy')
to_date('25/10/2021', 'mm/dd/yyyy')
to_date('19/11/2020', 'mm/dd/yyyy')
to_date('15/01/2021', 'mm/dd/yyyy')
to_date('18/10/2022', 'mm/dd/yyyy')
to_date('27/10/2021', 'mm/dd/yyyy')
to_date('24/01/2021', 'mm/dd/yyyy')
to_date('30/10/2020', 'mm/dd/yyyy')
to_date('19/04/2022', 'mm/dd/yyyy')
to_date('29/04/2021', 'mm/dd/yyyy')
to_date('29/03/2021', 'mm/dd/yyyy')
to_date('27/09/2021', 'mm/dd/yyyy')
to_date('05/01/2022', 'mm/dd/yyyy')
to_date('08/04/2021', 'mm/dd/yyyy')
to_date('10/12/2020', 'mm/dd/yyyy')
to_date('23/08/2021', 'mm/dd/yyyy')
to_date('18/04/2021', 'mm/dd/yyyy')
to_date('29/07/2021', 'mm/dd/yyyy')
to_date('13/07/2021', 'mm/dd/yyyy')
to_date('07/09/2021', 'mm/dd/yyyy')
to_date('01/09/2022', 'mm/dd/yyyy')
to_date('06/10/2022', 'mm/dd/yyyy')
to_date('09/06/2022', 'mm/dd/yyyy')
to_date('21/04/2021', 'mm/dd/yyyy')
to_date('13/01/2022', 'mm/dd/yyyy')
to_date('24/01/2022', 'mm/dd/yyyy')
to_date('21/03/2022', 'mm/dd/yyyy')
to_date('27/04/2021', 'mm/dd/yyyy')
to_date('09/10/2021', 'mm/dd/yyyy')
to_date('23/01/2021', 'mm/dd/yyyy')
to_date('20/08/2022', 'mm/dd/yyyy')
